municipio;habitantes;grupo;concejal_cultura;concejal_fiestas;telefono;que_es_ese_telefono;email;web;verificado;fuente;tecnico_cultura
Armilla;25300;A;Pablo Arturo Cano Cobo;;958 57 80 37;Directo de la Concejalía de Cultura;pablo.cano@armilla.es;armilla.es;21/09/2026;https://armilla.es/el-ayuntamiento/concejalias/concejalia-de-cultura/;
Las Gabias;23584;A;Cristina María Moreno Ayuso;Sebastián Pertíñez Reyes;958 58 20 04;Centro Cultural Siglo XXI (la centralita es 958 58 02 61);;lasgabias.es;22/09/2026;https://www.lasgabias.es/lasgabias/telefonos-de-interes/;
Maracena;22294;A;Antonio Segovia Ganivet;Amabel Adarve Anguita (Eventos);958 42 13 95;Casa de la Cultura;;maracena.es;21/09/2026;https://maracena.es/equipo-de-gobierno/;
Atarfe;20914;A;Jennifer García Moreno;Víctor Almohano González;958 43 96 97;Centro Cultural Medina Elvira (la centralita es 958 43 60 11);;atarfe.es;22/09/2026;https://www.atarfe.es/directorio;
La Zubia;20389;A;Pablo Manuel Melgarejo Cordón;Natalia Arregui Barragán;958 59 00 79;Centro de Promoción Cultural Carlos Cano (la centralita es 958 59 01 11);;lazubia.es;22/09/2026;https://lazubia.es/telefonos-y-direcciones-de-contacto/;
Albolote;19768;A;María Rosario Ramírez Rivera;;958 46 51 15;Centralita;ayuntamiento@albolote.com;albolote.org;22/09/2026;https://albolote.org/directorio/telefonos-de-interes/;
Churriana de la Vega;16878;A;Mª Esther López Lara;Sara Mª Sánchez Morente;958 57 34 78;Centro Municipal de Cultura (la centralita es 958 55 08 74);info@churrianadelavega.org;ayuntamientochurrianadelavega.org;22/09/2026;https://ayuntamientochurrianadelavega.org/concejalias/;
Ogíjares;15239;A;Estefano Polo Segura (es el alcalde);Ana María Segura Ruíz;676 33 80 09;Móvil directo del concejal de Cultura;estefanopolo@ogijares.org;ogijares.es;21/09/2026;https://ogijares.es/ayuntamiento/equipo-de-gobierno;
Vegas del Genil;12424;A;;;958 43 20 51;Centralita (biblioteca 958 44 55 77);ayuntamiento@vegasdelgenil.es;vegasdelgenil.es;22/09/2026;https://www.vegasdelgenil.es/municipio/telefonos-de-interes/;
Huétor Vega;12285;A;Ángel Luis Moreno del Paso;Carolina Higueras Moyano;958 30 10 87;Biblioteca municipal Ángel Ganivet (la centralita es 958 30 05 11);;huetorvega.org;22/09/2026;https://huetorvega.org/corporacion/;
